Time [d] T_in [°C], [°C m2/s]
6 8
-1 -430 -400 -330 -310 -253 -190 -485 -195 -195 -90 -90 -7 -7 0 
0 25.7 25.6 26 26 22.6 21 0 0 4.7250000000000005 4.7250000000000005 0 0 193.5 193.5 
1000000 25.7 25.6 26 26 22.6 21 0 0 4.7250000000000005 4.7250000000000005 0 0 193.5 193.5 
