Depth [m]	U [m/s]	V [m/s]	T [°C]	S [permil]	k [J/kg]	eps [W/kg]
0	0	0	24.760000000000002	1.078000000000000	0.000003000000000	0.000000000500000
-1	0	0	24.757000000000001	1.078000000000000	0.000003000000000	0.000000000500000
-2	0	0	24.652999999999999	1.084000000000000	0.000003000000000	0.000000000500000
-3	0	0	24.597000000000001	1.085000000000000	0.000003000000000	0.000000000500000
-4	0	0	24.556999999999999	1.086000000000000	0.000003000000000	0.000000000500000
-5	0	0	24.521999999999998	1.087000000000000	0.000003000000000	0.000000000500000
-6	0	0	24.513000000000002	1.087000000000000	0.000003000000000	0.000000000500000
-7	0	0	24.507000000000001	1.088000000000000	0.000003000000000	0.000000000500000
-8	0	0	24.495000000000001	1.087000000000000	0.000003000000000	0.000000000500000
-9	0	0	24.494000000000000	1.087000000000000	0.000003000000000	0.000000000500000
-10	0	0	24.462000000000000	1.089000000000000	0.000003000000000	0.000000000500000
-11	0	0	24.440000000000001	1.089000000000000	0.000003000000000	0.000000000500000
-12	0	0	24.436000000000000	1.089000000000000	0.000003000000000	0.000000000500000
-13	0	0	24.417000000000002	1.090000000000000	0.000003000000000	0.000000000500000
-14	0	0	24.417000000000002	1.089000000000000	0.000003000000000	0.000000000500000
-15	0	0	24.408999999999999	1.090000000000000	0.000003000000000	0.000000000500000
-16	0	0	24.399000000000001	1.091000000000000	0.000003000000000	0.000000000500000
-17	0	0	24.399999999999999	1.091000000000000	0.000003000000000	0.000000000500000
-18	0	0	24.393000000000001	1.090000000000000	0.000003000000000	0.000000000500000
-19	0	0	24.376999999999999	1.090000000000000	0.000003000000000	0.000000000500000
-20	0	0	24.356999999999999	1.091000000000000	0.000003000000000	0.000000000500000
-21	0	0	24.315999999999999	1.092000000000000	0.000003000000000	0.000000000500000
-22	0	0	24.324000000000002	1.093000000000000	0.000003000000000	0.000000000500000
-23	0	0	24.259000000000000	1.096000000000000	0.000003000000000	0.000000000500000
-24	0	0	24.239999999999998	1.097000000000000	0.000003000000000	0.000000000500000
-25	0	0	24.207000000000001	1.101000000000000	0.000003000000000	0.000000000500000
-26	0	0	24.132999999999999	1.103000000000000	0.000003000000000	0.000000000500000
-27	0	0	24.074000000000002	1.104000000000000	0.000003000000000	0.000000000500000
-28	0	0	23.995999999999999	1.107000000000000	0.000003000000000	0.000000000500000
-29	0	0	23.948000000000000	1.109000000000000	0.000003000000000	0.000000000500000
-30	0	0	23.908000000000001	1.108000000000000	0.000003000000000	0.000000000500000
-31	0	0	23.853000000000002	1.113000000000000	0.000003000000000	0.000000000500000
-32	0	0	23.812999999999999	1.116000000000000	0.000003000000000	0.000000000500000
-33	0	0	23.765999999999998	1.116000000000000	0.000003000000000	0.000000000500000
-34	0	0	23.675000000000001	1.122000000000000	0.000003000000000	0.000000000500000
-35	0	0	23.574999999999999	1.127000000000000	0.000003000000000	0.000000000500000
-36	0	0	23.539999999999999	1.131000000000000	0.000003000000000	0.000000000500000
-37	0	0	23.515000000000001	1.134000000000000	0.000003000000000	0.000000000500000
-38	0	0	23.486999999999998	1.133000000000000	0.000003000000000	0.000000000500000
-39	0	0	23.463000000000001	1.133000000000000	0.000003000000000	0.000000000500000
-40	0	0	23.451000000000001	1.131000000000000	0.000003000000000	0.000000000500000
-41	0	0	23.428999999999998	1.134000000000000	0.000003000000000	0.000000000500000
-42	0	0	23.420000000000002	1.137000000000000	0.000003000000000	0.000000000500000
-43	0	0	23.414000000000001	1.136000000000000	0.000003000000000	0.000000000500000
-44	0	0	23.408000000000001	1.139000000000000	0.000003000000000	0.000000000500000
-45	0	0	23.399000000000001	1.142000000000000	0.000003000000000	0.000000000500000
-46	0	0	23.382999999999999	1.146000000000000	0.000003000000000	0.000000000500000
-47	0	0	23.373999999999999	1.153000000000000	0.000003000000000	0.000000000500000
-48	0	0	23.366000000000000	1.155000000000000	0.000003000000000	0.000000000500000
-49	0	0	23.353000000000002	1.160000000000000	0.000003000000000	0.000000000500000
-50	0	0	23.338999999999999	1.163000000000000	0.000003000000000	0.000000000500000
-51	0	0	23.326000000000001	1.167000000000000	0.000003000000000	0.000000000500000
-52	0	0	23.311000000000000	1.173000000000000	0.000003000000000	0.000000000500000
-53	0	0	23.300000000000001	1.181000000000000	0.000003000000000	0.000000000500000
-54	0	0	23.305000000000000	1.186000000000000	0.000003000000000	0.000000000500000
-55	0	0	23.277999999999999	1.192000000000000	0.000003000000000	0.000000000500000
-56	0	0	23.260000000000002	1.202000000000000	0.000003000000000	0.000000000500000
-57	0	0	23.268999999999998	1.218000000000000	0.000003000000000	0.000000000500000
-58	0	0	23.242000000000001	1.234000000000000	0.000003000000000	0.000000000500000
-59	0	0	23.244000000000000	1.252000000000000	0.000003000000000	0.000000000500000
-60	0	0	23.219999999999999	1.268000000000000	0.000003000000000	0.000000000500000
-61	0	0	23.193000000000001	1.271000000000000	0.000003000000000	0.000000000500000
-62	0	0	23.158000000000001	1.293000000000000	0.000003000000000	0.000000000500000
-63	0	0	23.151000000000000	1.306000000000000	0.000003000000000	0.000000000500000
-64	0	0	23.131000000000000	1.315000000000000	0.000003000000000	0.000000000500000
-65	0	0	23.117000000000001	1.323000000000000	0.000003000000000	0.000000000500000
-66	0	0	23.099000000000000	1.334000000000000	0.000003000000000	0.000000000500000
-67	0	0	23.087000000000000	1.359000000000000	0.000003000000000	0.000000000500000
-68	0	0	23.090000000000000	1.381000000000000	0.000003000000000	0.000000000500000
-69	0	0	23.085000000000001	1.403000000000000	0.000003000000000	0.000000000500000
-70	0	0	23.079999999999998	1.420000000000000	0.000003000000000	0.000000000500000
-71	0	0	23.077999999999999	1.448000000000000	0.000003000000000	0.000000000500000
-72	0	0	23.076000000000001	1.484000000000000	0.000003000000000	0.000000000500000
-73	0	0	23.077000000000002	1.515000000000000	0.000003000000000	0.000000000500000
-74	0	0	23.077999999999999	1.550000000000000	0.000003000000000	0.000000000500000
-75	0	0	23.081000000000000	1.579000000000000	0.000003000000000	0.000000000500000
-76	0	0	23.081000000000000	1.611000000000000	0.000003000000000	0.000000000500000
-77	0	0	23.082999999999998	1.647000000000000	0.000003000000000	0.000000000500000
-78	0	0	23.087000000000000	1.681000000000000	0.000003000000000	0.000000000500000
-79	0	0	23.085000000000001	1.709000000000000	0.000003000000000	0.000000000500000
-80	0	0	23.085000000000001	1.743000000000000	0.000003000000000	0.000000000500000
-81	0	0	23.085999999999999	1.773000000000000	0.000003000000000	0.000000000500000
-82	0	0	23.087000000000000	1.813000000000000	0.000003000000000	0.000000000500000
-83	0	0	23.088000000000001	1.851000000000000	0.000003000000000	0.000000000500000
-84	0	0	23.090000000000000	1.883000000000000	0.000003000000000	0.000000000500000
-85	0	0	23.090000000000000	1.908000000000000	0.000003000000000	0.000000000500000
-86	0	0	23.088999999999999	1.940000000000000	0.000003000000000	0.000000000500000
-87	0	0	23.091999999999999	1.968000000000000	0.000003000000000	0.000000000500000
-88	0	0	23.096000000000000	1.996000000000000	0.000003000000000	0.000000000500000
-89	0	0	23.100000000000001	2.012000000000000	0.000003000000000	0.000000000500000
-90	0	0	23.097999999999999	2.035000000000000	0.000003000000000	0.000000000500000
-91	0	0	23.097000000000001	2.058000000000000	0.000003000000000	0.000000000500000
-92	0	0	23.100999999999999	2.081000000000000	0.000003000000000	0.000000000500000
-93	0	0	23.103999999999999	2.105000000000000	0.000003000000000	0.000000000500000
