Time [d] 	u [m/s]	v [m/s]	Tair [?C]	sol [W m-2]	vap [mbar]	Longwave [W m-2]
30315	-0.2844	-0.6198	21.6	235.24	20.45	376.89
30316	1.6194	-0.0893	19.64	127.76	19.82	371.84
30317	1.1846	-0.2579	19.47	139.54	19.51	370.9
30318	1.2778	-0.0674	20.94	253.07	19.72	364.29
30319	0.5578	-0.4098	19.87	150.27	19.69	367.8
30320	1.1117	-0.8679	20.68	194.74	20.09	375.69
30321	1.9751	-1.6313	18.97	130.11	18.9	369.72
30322	0.6668	-0.3313	18.67	130.3	18.36	365.82
30323	-0.0388	-0.3423	19.57	128.06	19.23	367.52
30324	0.5702	-0.4507	20.18	139.7	19.89	372.27
30325	0.7227	-0.0607	20.3	211.75	19.79	366.06
30326	0.7938	0.013	20.45	202.88	19.46	360.92
30327	0.9906	-0.1639	20.38	221.08	20.17	366.24
30328	0.2195	-1.2288	21.16	229.17	20.81	367
30329	-0.0308	-0.8486	21.42	198.23	20.71	373.94
30330	-0.2549	-0.36	21.76	208.84	21.11	372.65
30331	0.6522	1.1109	20.03	204.16	19.99	362.62
30332	-0.8798	-0.343	22.08	253.19	21.13	372.94
30333	-0.8205	-0.6117	22.98	268.1	21.82	373.33
30334	-0.1177	-0.1817	21.17	196.1	20.55	360.64
30335	-1.2885	0.3538	20.98	219.27	20.59	364.78
30336	-0.8236	-0.111	20.51	185.48	20.42	364.23
30337	-0.882	-0.9231	19.36	100.23	19.33	367.34
30338	-0.1922	0.3214	19.07	120.06	19.16	369.03
30339	-0.8029	0.0312	20.04	172.35	19.61	372.49
30340	-0.4831	0.2148	21.35	238.83	20.71	375.89
30341	-0.4412	-0.3239	22.93	273.19	20.89	371.12
30342	1.2859	-0.2001	21.76	216.44	20.58	374.73
30343	1.4711	0.2167	20.48	204.38	19.96	370.39
30344	1.455	1.2678	20.39	209.09	19.64	370.32
30345	-0.0728	0.4436	20.19	211.75	19.97	362.67
30346	-1.0741	-0.4116	19.52	171.52	19.32	363.06
30347	-0.5831	-0.8634	18.9	150.47	18.53	369.29
30348	-0.4824	-0.9224	19.41	164.07	18.81	373.12
30349	0.7149	0.087	19.78	186.82	18.94	361.37
30350	0.8934	-0.8552	20.09	193.32	19.43	371.95
30351	0.2658	-0.2347	19.61	181.88	19	361.99
30352	-0.0185	-0.1828	19.72	175.97	19.5	367.51
30353	-1.8452	-0.2578	20.49	240.3	19.8	365.93
30354	-1.2106	-0.3767	21.94	269.39	20.45	369.03
30355	0.0006	-0.5433	23.15	250.46	21.71	373.7
30356	0.0092	0.108	22.63	265.42	21.77	368.29
30357	0.4071	0.319	21.66	188.11	21.21	377.23
30358	-1.231	-0.0625	21.97	247.48	21.18	368.08
30359	0.7051	0.3597	20.83	138.46	20.54	373.97
30360	-0.1933	-0.4825	21.93	233.89	21.03	377.99
30361	1.4193	0.0092	21.17	173.59	20.72	375.59
30362	0.6232	0.6384	19.7	152.15	19.71	372.14
30363	0.0191	-0.3319	20.81	147.32	20.06	369.04
30364	-0.8888	0.693	21.04	243.16	20.16	355.4
30365	-1.001	-0.4923	21.84	247.65	20.09	364.09
30366	-2.5169	-1.089	24.02	301.68	21.94	365.63
30367	-1.3067	-0.7952	23.98	295.22	21.73	362.04
30368	-1.4788	0.1075	23.17	273.03	20.64	351.5
30369	-3.4341	0.1035	23.32	300.5	19.78	343.75
30370	-2.4495	0.0736	23.75	322.91	20.33	344.1
30371	-1.304	0.0433	22.11	185.4	20.08	359.46
30372	-1.6915	0.1378	23.35	280.93	21.43	357.23
30373	-0.6	-0.5829	23.55	284.56	21.79	364.48
30374	0.0704	0.5073	23.51	213.43	22.44	381.03
30375	1.1366	-0.4535	23.11	228.26	21.55	375.88
30376	0.5653	1.1575	22.08	201.97	21.03	371.61
30377	0.8229	-1.1713	21.15	187.11	20.82	374.28
30378	-0.6621	-1.856	23.56	278.89	21.94	376.58
30379	0.2239	-0.5096	20.5	116.38	20.57	380.33
30380	0.1588	0.5478	22.75	250.64	21.41	378.09
30381	0.5401	-0.611	20.49	174.96	20.21	380.71
30382	1.2447	0.3992	20.29	172.34	19.99	376.93
30383	1.686	-0.6625	20.58	194.63	20.17	378.99
30384	0.2323	-0.9174	20.71	182.92	19.99	379.28
30385	-0.8163	0.9339	20.22	178.23	20.05	374.56
30386	-1.0274	0.0556	21.74	223.19	20.81	380.77
30387	-0.6353	0.4188	20.39	153.02	20.28	379.14
30388	-2.0526	1.1345	22	256.38	20.73	371.2
30389	-1.7206	0.5076	21.33	143.45	20.46	383.51
30390	1.1436	0.1567	19.89	158.89	19.83	376.83
30391	0.196	1.3791	19.7	162.72	19.43	374.41
30392	-0.0681	0.2747	19.38	132.73	19.37	377.21
30393	-0.8263	1.1695	19.11	159.42	19.02	373.49
30394	-0.9563	-0.239	20.67	174.22	20.07	382.67
30395	0.0191	-0.0011	19.26	132.71	19.29	373.56
30396	-0.5154	-0.435	21.04	223.03	20.52	376.44
30397	1.0503	0.1728	19.64	134.93	19.65	376.9
30398	-0.3014	-0.072	20.96	171.79	20.38	382.48
30399	0.3251	-0.4818	19.93	163.52	19.92	374.7
30400	-0.1138	-0.5001	20.65	177.88	20.28	380.44
30401	1.2328	0.0508	20.23	175.89	20.18	375.7
30402	0.4117	0.5215	20.95	200.96	20.59	376.1
30403	-0.4203	0.3373	21.01	187.29	20.59	376.08
30404	-0.1015	0.4542	19.75	170.58	19.44	372.22
30405	-1.5893	0.1286	21.65	240.8	20.62	375.42
30406	-0.6669	-0.0735	19.72	151.15	19.49	369.65
30407	-0.3001	-0.0394	19.44	137.58	19.26	372.76
30408	0.2305	0.6366	19.01	116.12	18.94	372.3
30409	-0.9756	1.2847	20.05	206.14	19.44	370.56
30410	-0.5078	0.7439	20.4	180.18	19.89	370.36
30411	-0.5889	1.1642	19.5	169.41	19.36	364.69
30412	-0.6712	1.3275	20.38	240.87	19.67	366.35
30413	-1.4272	0.6806	20.58	222.18	20.11	369.83
30414	-0.0913	0.7414	21.2	232.14	20.6	373.65
30415	-1.9449	0.664	20.77	202.37	20.08	364.04
30416	-3.0326	0.4349	21.23	230.39	20.21	362.83
30417	-2.6229	0.3593	20.41	214.19	19.28	356.52
30418	-2.3735	0.5224	21.01	285.08	18.8	348.63
30419	-1.9415	0.0654	21.49	292.49	19.01	346.35
30420	-1.4645	-0.2554	21.95	309.55	19.31	340.96
30421	-0.7978	0.523	22.25	247.92	20.49	364.23
30422	-1.4724	0.4271	21.89	217.1	20.91	370.3
30423	-1.6728	-0.2176	21.89	225.95	20.69	370.03
30424	0.5129	0.0295	21.93	227.94	20.99	373.05
30425	1.0236	-0.0021	19.54	145.67	19.35	369.39
30426	-0.1354	0.1562	19.54	161.64	19.02	366.83
30427	-0.465	-0.146	20.09	180.44	19.28	365.02
30428	-1.5183	-0.2344	20.36	242.23	19.63	354.13
30429	-0.5717	0.3454	19.77	164.26	19.26	370.78
30430	-1.6838	0.8341	21.18	254.41	19.44	359.3
30431	-1.5113	0.4791	20.9	215.77	19.3	361.12
30432	-2.2367	1.2826	21.31	232.43	19.84	369.7
30433	-3.6054	1.5904	21.92	294.21	19.18	352.24
30434	-2.2066	1.229	21.82	290.83	19.13	356.99
30435	-0.2123	1.1833	21.76	238.59	19.75	371.31
30436	0.2923	0.5418	20.49	173.75	19.46	373.99
30437	-0.3437	0.4939	19.58	166.23	18.81	366.59
30438	0.0854	0.8233	19.55	136.66	19	375.34
30439	0.6678	0.1547	19.4	132.85	19	376
30440	-0.3722	0.2864	19.84	131.24	19.31	371.25
30441	-0.0866	0.4174	20.06	146.21	19.59	376.11
30442	-0.7175	0.0659	19.87	197.12	19.43	366.88
30443	-0.9879	0.6608	20.75	208.19	20.04	374.54
30444	0.1111	0.327	19.4	174.9	19.13	367.54
30445	-1.0733	-0.4316	20.07	188.37	19.21	374.6
30446	-0.0548	0.0939	19.38	161	18.82	368.75
30447	-0.9517	1.2644	20.25	227.68	18.97	360.7
30448	-0.8617	0.8608	21.23	245.13	19.42	366.63
30449	-0.0241	0.0023	21.64	187.06	20.23	375.22
30450	0.0929	0.0694	20.3	174.41	19.54	373.7
30451	-0.5948	1.161	21.59	246.79	20.16	367.53
30452	0.5597	-0.1031	20.85	196.2	20.06	374.91
30453	0.2282	0.2426	20.76	187.94	19.42	370.39
30454	-0.4897	0.7759	21.18	240.38	19.26	361.3
30455	-0.9337	0.8941	21.46	253.51	18.81	359.27
30456	-1.834	0.9021	21.47	238.01	19.37	363.85
30457	-1.8137	1.4262	21.39	206.69	19.19	372.92
30458	-1.7695	1.0857	21.66	201.93	19.04	374.6
30459	-1.9969	1.044	22.23	230.84	19.46	374.14
30460	-2.165	1.5514	22.12	227.19	19.09	371.83
30461	-1.8093	1.19	22.39	253.77	18.87	366.84
30462	-1.9286	1.5371	21.52	226.12	17.84	360.07
30463	-2.2558	1.7659	21.23	271.94	17.39	346.31
30464	-1.639	1.0984	21.14	247.9	18.06	357.73
30465	-0.8513	0.7869	21.08	210.3	18.75	371.48
30466	-1.9672	1.7318	22.53	254.26	18.45	347.54
30467	-2.03	1.6164	20.61	274.08	16.41	331.2
30468	-2.4556	1.5562	20.06	250.84	15.83	343.35
30469	-1.8197	1.4029	19.66	269.66	15.66	331.1
30470	-2.5239	1.7595	19.76	238.45	15.78	339.15
30471	-2.0183	1.802	19.52	227.57	15.29	332.25
30472	-2.164	1.7605	20.27	277.44	15.79	327.7
30473	-2.0176	1.568	20.56	231.8	17.26	355.75
30474	-2.2	1.9384	21.31	242.32	17.27	357.68
30475	-2.4686	2.244	21.21	227.74	16.89	357.52
30476	-2.4649	2.3069	20.76	219.28	15.88	354.09
30477	-1.6835	1.7693	19.65	205.89	15.38	348.76
30478	-1.3525	1.4388	19.61	208.19	15.97	345.31
30479	-2.3302	1.914	19.36	187.6	15.95	351.24
30480	-2.344	1.5271	20.14	232.25	16.18	346.57
30481	-2.5607	1.7539	20.43	255.4	15.87	335.16
30482	-1.9276	1.868	20.1	255.11	15.66	335.05
30483	-1.1024	1.1952	19.53	157.58	15.94	349.9
30484	-0.834	0.6658	20.49	194.85	16.88	357.9
30485	-0.3925	0.2118	21.1	173.24	18.02	359.26
30486	0.0502	0.8804	21.75	204.41	18.88	362.76
30487	-0.4582	0.1285	19.87	111.16	18.26	371.56
30488	0.2092	1.2691	20.43	176.27	17.91	372.58
30489	-0.2137	1.2336	20.69	172.23	17.8	361.32
30490	0.0146	0.5572	20.12	99.81	18.02	375.78
30491	-0.5437	1.0941	20.52	127.22	18.1	373.71
30492	-1.7468	1.338	21.15	228.14	16.83	346.04
30493	-2.0976	1.5832	20.63	227.47	15.87	351.9
30494	-2.9509	1.8212	20.25	271.02	15.26	331.39
30495	-1.4577	1.5981	19.92	260.37	15	331.75
30496	-1.0947	0.8532	20.11	250.58	15.69	338.69
30497	-0.2158	0.7762	20.65	216.76	17.15	367.1
30498	-0.1563	0.1401	21.36	187.88	18	374.37
30499	0.1255	0.2996	22.06	206.5	19.18	372.02
30500	-1.074	0.597	22.64	233.17	19.09	363.55
30501	-0.1781	1.2814	21.57	222.19	18.5	367.68
30502	-0.6379	0.868	21.34	178.56	17.43	370.31
30503	-1.3026	1.2798	20.63	190.02	16.87	371.67
30504	-0.8203	1.1714	20.13	119.82	16.45	382.91
30505	-1.4222	0.7239	19.67	124.56	16.41	371.23
30506	-0.0609	0.6643	18.52	85.76	16.36	373.63
30507	-0.4179	1.4835	20.87	229.41	17.51	370.12
30508	-0.4253	1.1141	20.25	113.09	17.59	393.99
30509	-1.7331	1.7793	21.28	187.18	17.09	375.45
30510	-1.5103	0.7721	20.96	191.94	17.5	384.39
30511	-1.205	1.8818	21.49	212.44	17.87	384.49
30512	-1.7946	1.2412	20.71	170.3	16.48	370.91
30513	-1.261	1.6267	20.32	194.05	16.12	361.83
30514	-0.1232	0.7259	20.68	208.23	16.89	376.89
30515	0.0354	0.4573	21.77	199.04	18.06	383.36
30516	0.7034	0.0981	21.61	192.4	18.67	383.69
30517	-0.3685	0.5685	21.68	197.83	18.42	377.33
30518	0.2927	0.0102	21.44	187.49	18.23	378.72
30519	-0.7902	0.6196	21.47	193.29	17.48	357.91
30520	-1.3338	0.7972	21.11	227.64	16.23	347.14
30521	-0.3992	1.5153	20.79	242.07	16.11	345.47
30522	-0.6866	0.7065	21.37	245.22	16.54	351.24
30523	0.3718	0.8549	19.83	141.54	16.34	363.19
30524	-1.0591	1.5505	20.65	259.9	15.53	340.82
30525	-0.9951	1.1658	20.93	231.65	15.54	354.31
30526	-1.1467	1.6046	20.18	208.46	15.66	357.95
30527	-1.2191	1.5671	20.23	223.52	15.67	346.52
30528	-0.4402	1.6179	20.31	184.71	16.32	372.11
30529	0.008	1.3052	19.53	131.25	16.18	371.02
30530	-0.8155	2.3419	19.28	105.33	15.76	381.25
30531	-2.0531	1.9058	17.47	112.62	14.23	363.01
30532	-2.0593	1.2682	20.52	226.34	16.11	368.03
30533	-0.5674	0.807	20.8	151.95	16.83	380.97
30534	-0.0674	0.7717	19.04	82.03	16.4	370.35
30535	-0.4068	0.7232	19.18	133.48	16.77	375.19
30536	0.0337	0.6326	21.51	190.62	17.75	369.98
30537	-0.0523	1.1392	21.41	194.15	18.47	376.12
30538	0.7426	0.3317	20.99	140.9	17.59	376.26
30539	-0.1606	0.7642	21.34	245.18	16.52	347.4
30540	-0.6929	0.7985	21.5	254.75	15.86	341.06
30541	-0.2835	0.6509	22.36	286.49	16.48	345.09
30542	0.2161	0.4843	21.46	241.66	16.46	349.2
30543	0.2453	0.9619	21.71	225.33	16.75	367.29
30544	-0.0076	-0.1595	20.35	134.09	17.28	379.69
30545	0.6135	1.0235	21.02	213.42	17.8	368.04
30546	-1.0151	1.2924	22.09	281.11	16.93	344.13
30547	-1.8573	1.5139	22.37	260.64	16.35	362.1
30548	-2.5161	1.7704	22	250.99	16.23	355.1
30549	-2.4498	1.2278	20.76	181.41	15.92	373.94
30550	-1.9146	1.9164	21.88	234.32	16.51	361.28
30551	-1.7146	1.062	21.53	248.71	16.3	358.63
30552	-0.8992	0.802	22.2	233.01	17.42	375.02
30553	-0.813	0.3734	22.63	237.67	17.45	368.83
30554	0.7612	0.8281	21.32	195.3	17.81	373.7
30555	-0.1239	0.5642	21.28	200.4	18.07	374.92
30556	-0.439	0.1163	21.96	180.73	17.48	376.43
30557	0.7965	1.2679	22.37	243.85	19.18	378.98
30558	-0.1763	0.5891	21.51	208.36	18.49	380.96
30559	-0.0199	1.2633	21.84	198.22	18.94	381.12
30560	-0.2979	0.139	20.78	158.06	19.05	374.71
30561	-0.1268	0.3231	21.14	189.57	18.33	371.75
30562	0.1323	0.2448	21.39	215.06	18.23	368.04
30563	0.8345	0.5435	22.2	223.97	18.37	371.31
30564	0.6334	0.2621	21.82	204.92	18.64	378.99
30565	0.019	1.2015	21.05	218.72	18.32	372.3
30566	-0.36	-0.9897	20.53	197.76	18.24	370.06
30567	-1.7287	0.6931	21.54	233	18.7	373.81
30568	-1.1483	0.7965	18.76	167.29	17	372.89
30569	-0.5992	1.2772	20.06	219.57	17.48	376.95
30570	1.2125	-0.5367	19.55	187.26	18.21	371.4
30571	0.6217	0.1221	22.72	261.89	18.09	367.61
30572	1.5801	-0.7072	19.16	144.11	18.06	376.37
30573	-1.0531	1.2467	21.36	232.71	18.26	368.38
30574	0.4498	-0.9176	21.47	160.98	19.75	378.56
30575	0.1427	0.7411	20.78	205.9	18.8	368.08
30576	-0.0173	-0.5838	21.29	247.74	19.12	367.15
30577	0.2678	0.3261	20.83	220.02	18.63	372.77
30578	0.0666	-1.3965	19.63	178.16	18.67	371.05
30579	-0.3616	0.4134	19.56	137.45	17.04	376.61
30580	-0.8802	0.9445	22.02	298.69	19.02	364.43
30581	0.9361	0.311	21.05	179.25	19.09	378.83
30582	1.5598	-0.1225	18.44	129.38	17.58	371.3
30583	0.338	0.3288	20.29	247.36	18.74	367.45
30584	0.6436	-0.5708	19.08	161.38	18.37	371.38
30585	0.4804	-0.3387	19.53	195.06	18.71	371.61
30586	0.0562	-0.3615	21.64	229.7	19.47	378.03
30587	0.7288	-0.0427	21.26	237.31	19.4	373.12
30588	0.0246	-0.3417	21.34	240.43	19.51	377.35
30589	0.5995	0.61	18.42	123.01	17.84	368.3
30590	-1.7625	1.0759	21.22	271.63	17.46	358.12
30591	-2.2797	0.8724	20.87	235.76	16.12	351.32
30592	-2.7876	1.1061	21.84	270.02	15.96	354.58
30593	-1.4922	1.0428	22.35	276.43	16.66	356.58
30594	-0.2312	-0.0638	22.21	229.87	17.11	364.33
30595	-0.5733	0.1877	21.91	234.21	17.59	365.55
30596	-0.401	0.6693	22.99	272.96	18.12	357.49
30597	0.0371	0.4221	23.23	247.88	19.28	371.54
30598	0.5822	-0.5893	22.34	234.4	19.37	372.4
30599	0.8617	0.2773	19.38	152.23	18.61	371.46
30600	0.2797	0.4257	20.52	215.56	19.26	371.17
30601	-0.666	-1.1465	20.4	243.75	18.86	353.89
30602	0.3223	-0.706	20.44	157.26	19.13	374.04
30603	0.5756	-0.2997	21.19	211.68	19.48	368.69
30604	0.8659	-0.4186	20.43	205.5	19.21	367.58
30605	-0.6195	-0.1498	20.94	193.9	19.49	372.99
30606	-0.6852	-0.4452	21.12	188.84	20	374.17
30607	-1.8378	0.6028	22.05	293.79	17.72	349.25
30608	-0.9825	0.3463	21.7	286.77	17.19	337.09
30609	-0.3077	0.4141	23.04	284.74	18.34	352.35
30610	-0.2575	0.3367	25.15	308.64	19.58	346.55
30611	0.288	-0.4673	23.35	220.8	19.62	370.15
30612	1.4924	0.2539	20.18	136.59	19.12	370.3
30613	0.4723	0.7065	18.57	135.52	18.06	360.87
30614	0.6645	0.1509	21.6	243.73	19.95	374.1
30615	1.7643	0.2037	21.31	166	20.19	373.17
30616	1.9395	-0.1053	20.62	169.59	19.59	376.73
30617	1.8287	-0.0221	19.82	132.41	19.32	373.09
30618	0.6815	-0.9786	21.53	245.7	19.91	366
30619	0.4291	-1.3676	19.96	151.2	19.63	367.78
30620	-0.1419	1.2464	20.75	200.89	19.16	371.13
30621	-0.2773	0.0006	20.99	209.68	19.22	364.11
30622	0.5125	-0.6086	20.71	207.68	19.33	369.63
30623	-0.1598	-0.4498	21.12	194.53	19.65	373.4
30624	-0.5908	-0.1386	20.78	200.87	19.12	366.21
30625	-1.0356	-0.1174	22.32	252.58	19.89	368.91
30626	1.1904	-0.0291	21.77	195.66	20.11	372.35
30627	0.026	-0.5001	21.86	189.27	20.09	364.91
30628	-0.4802	-0.3224	21.71	191.98	19.92	366.03
30629	-0.2917	0.3629	22.24	220.9	19.89	365.4
30630	-0.1817	-0.8159	23.74	269.79	20.63	359.78
30631	0.5458	-0.1453	22.66	236.04	21.08	363.53
30632	0.4716	-0.7641	22.73	220.03	21.58	374.59
30633	0.0939	-1.1606	23.11	238.68	21.44	372.37
30634	1.0152	-0.2906	20.96	114.9	20.79	377.84
30635	-0.012	-0.3966	22.67	252.87	21.14	373.54
30636	1.2375	0.6555	20.75	159.47	20.39	373.33
30637	0.8342	-1.0859	20.46	207.54	19.85	363.68
30638	1.2823	-1.5233	21.27	183.69	20.15	371.29
30639	1.1711	-1.4741	21.5	193.8	20.49	375.66
30640	-0.3157	0.5223	20.04	156.58	19.78	368.72
30641	-1.1181	0.663	21.11	209.38	20.24	371.04
30642	-0.882	-0.4278	21.24	216.28	20.41	362.42
30643	-0.7188	0.0676	21.63	193.14	20.54	375.78
30644	-0.7472	0.1245	20.78	137.7	20.22	367.47
30645	-2.5617	-0.6905	21.52	184.15	20.05	365.82
30646	-1.2857	-0.5654	21.73	235.91	20.09	356.55
30647	0.5755	-0.8241	21.08	194.7	20.14	371
30648	0.2091	0.4032	19.85	131.57	19.65	369.26
30649	-0.8085	-0.4559	20.5	167.83	20.25	367.37
30650	0.5535	-0.5649	20.94	179.05	20.52	373.4
30651	0.3773	-0.1874	21.66	180.45	20.7	370.32
30652	0.4456	-0.0994	21.86	249.49	20.39	367.46
30653	1.5085	-0.1259	20.19	163	20.05	365.89
30654	0.6842	-0.1212	22.51	279.8	20.52	367.55
30655	2.3883	-0.2288	19.42	146.24	19.35	368.38
30656	1.0939	-0.6473	21.99	273.84	20.16	369.08
30657	1.558	-0.0818	19.57	122.42	19.42	369.8
30658	0.3829	-0.6778	20.92	208.26	20.04	367.12
30659	0.1789	-0.8615	20.02	119.2	19.86	373.55
30660	0.7359	-0.6203	19.67	165.56	19.56	369.49
30661	0.9457	-0.4331	20.6	175.86	20.02	374.21
30662	0.8831	-0.4872	21.92	231.47	20.69	373.64
30663	1.7994	-0.4331	20.97	166.07	20.35	373.19
30664	0.5356	-0.1097	20.53	99.26	20.31	376.52
30665	0.8393	0.4708	20.36	132.5	20.19	374.35
30666	0.2877	-0.4955	19.81	116.67	19.86	371.65
30667	0.4549	0.1429	20.58	113	20.44	376.44
30668	0.9355	-1.08	20.32	155.94	20.37	368.23
30669	1.1121	0.4214	20.89	147.11	19.86	374.46
30670	1.2024	0.5931	19.87	143.66	19.89	372.91
30671	0.0068	0.8391	20.34	147.62	20.2	370.27
30672	-0.9782	0.0504	21.06	224.89	20.62	367.29
30673	-0.6281	-1.0824	21.44	266.86	20.68	365.79
30674	-0.1232	-0.0187	20.23	177.38	19.87	371.6
30675	-0.2332	0.3771	20.4	179.89	19.92	371.65
30676	0.0304	-0.6961	20	129.99	19.94	367.86
30677	-0.2852	-0.5942	21.62	199.33	20.73	377.34
30678	1.7521	0.7742	20.14	146.34	20	368.17
30679	1.2117	-0.6821	19.42	174.38	19.31	365.74
30680	0.4251	-1.3994	21.52	230.47	19.97	371.48
30681	0.7953	0.3796	19.64	117.99	19.66	368.37
30682	-0.6295	-0.8136	20.57	194.93	19.79	363.69
30683	-0.0151	-0.0323	20.94	185.06	20.24	371.89
30684	0.3151	-0.062	20.72	193.18	20.16	360.72
30685	0.4409	-0.9891	20.52	191.59	20.13	361.93
30686	0.0704	-1.3532	22.23	285.04	21.3	368.28
30687	-0.1014	0.6349	21.14	143.46	21.13	373.66
30688	-0.1728	-0.0611	19.54	110.26	19.71	366.07
30689	-0.6809	-0.6227	19.74	117.83	19.38	367.02
30690	-0.9926	-0.1166	22.55	301.28	20.06	352.98
30691	0.105	0.0085	22.41	231.03	21	362.89
30692	0.6979	0.1613	20.83	154.09	20.73	368.13
30693	0.0537	-1.3736	22	217.2	21.17	372.37
30694	1.1965	0.0036	21.31	156.72	21	377.39
30695	0.6426	-0.3487	20.73	172.75	20.64	369.1
30696	0.7439	-0.3939	20.62	169.69	20.38	364.98
30697	0.1014	-0.8193	21.69	225.75	20.75	368.31
30698	0.8759	0.6901	19.58	113.5	19.56	370.14
30699	0.7237	-0.0044	20.06	166.75	19.84	369.94
30700	0.7884	-0.3628	19.5	170.91	19.2	360.26
30701	0.1065	-0.4297	20.37	191.54	19.16	363.11
30702	1.2106	0.4598	19.28	158.47	18.57	360.21
30703	0.1631	-0.9994	21.23	264.89	18.97	351.5
30704	0.936	-0.9451	21.56	302.19	17.76	335.36
30705	0.8962	-0.4811	20.92	217.59	17.86	339.9
30706	1.173	-0.1509	20.72	214.73	17.82	347.93
30707	0.7787	-0.9918	20.49	221.1	18.4	355.05
30708	0.3728	-1.3502	20.84	109.2	17.93	365.8
30709	0.2488	-0.6219	21.55	205.02	18.59	357.06
30710	-0.0188	-0.7802	19.84	141.44	19.17	366.09
30711	0.8534	0.2066	21.04	204.63	19.67	374.49
30712	0.4476	-0.582	18.96	144.06	18.63	369.86
30713	0.0357	-0.6734	21.5	238.21	20.08	373.91
30714	0.0658	0.1264	20.47	168.7	19.87	374.03
30715	-0.1299	0.0868	20.59	235.84	19.85	364.27
30716	0.4559	-0.1846	21.04	199.23	20.22	375.83
30717	1.2588	-0.7463	20.65	248.27	19.9	360.73
30718	-0.0006	-1.8214	21.91	258.91	20.19	370.3
30719	0.664	-0.3433	21.41	126.57	19.99	378.06
30720	1.2287	-0.493	21.98	231.35	21	377.28
30721	-0.4506	-0.3835	22.79	262.07	21.56	372.1
30722	1.1491	0.2139	21.42	190.55	20.83	374.01
30723	0.9463	-0.0206	20.83	191.92	20.54	371.62
30724	0.2332	-1.3096	21.38	145.84	20.69	378.93
30725	-0.4068	0.287	21.78	173.75	21.1	382.64
30726	0.2687	0.5619	19.53	110.45	19.53	374.69
30727	-0.1774	-0.5852	22.45	271.67	21.48	376.63
30728	0.1806	0.6898	20.31	122.07	20.54	377.65
30729	0.6875	0.2784	21.85	264.34	21.92	372.77
30730	0.9716	-0.3656	20.57	157.91	20.86	376.44
30731	-0.7605	-1.3475	21.63	249.64	21.46	378.66
30732	-0.1694	1.1342	19.64	128.1	19.59	372.4
30733	-1.9813	-0.275	21.07	237.56	20.26	378.78
30734	-2.6864	-0.268	21.67	254.96	20.53	359.99
30735	-2.1929	-0.2434	22.77	280.02	21.27	370.46
30736	-1.3388	0.5305	22.7	268.38	21.53	370.63
30737	0.1167	-0.1653	22.4	248.66	21.5	372.07
30738	0.628	-0.7151	22.2	252.28	21.07	372
30739	-0.8204	0.7132	22.56	246.74	21.3	371.39
30740	-2.8036	0.4384	23.21	291.49	21.01	354.94
30741	-2.7127	0.159	22.71	289.88	19.87	356.3
30742	-3.5504	0.0992	22.79	303.84	19.65	352.52
30743	-1.9991	0.7157	23.28	289.08	20.54	360.54
30744	0.323	-1.2184	21.79	219.73	20.44	368.63
30745	0.0404	-0.3318	20.87	179.06	20.18	373.09
30746	0.0467	0.7333	20.12	182.91	19.67	370.05
30747	-0.5961	0.3206	20.37	194.69	19.94	372.37
30748	-0.1958	0.5268	20.74	179.97	20.34	375.02
30749	1.6753	-0.7098	18.86	119.74	18.9	373.32
30750	-0.7789	0.1719	20.31	137.13	19.35	376.93
30751	-1.3423	1.1858	21.27	223.79	20.18	372.36
30752	-0.9754	0.9912	21.58	234.07	20.82	374.56
30753	0.626	-0.8076	20.18	162.33	20.11	380.47
30754	0.7998	-0.4678	19	140.7	18.81	373.11
30755	0.5587	-0.7965	20.95	214.88	20.02	377.85
30756	1.3339	-0.0188	19.16	138.17	18.81	373.82
30757	0.9936	-0.504	20.93	193.92	20.01	376.13
30758	0.8484	0.2756	18.53	104.1	18.45	374.68
30759	-1.5111	-0.0477	21.14	259.29	19.84	375.54
30760	0.6749	0.3862	20.08	148.06	19.65	372.78
30761	0.7044	-0.4952	20.63	194.71	19.9	377.04
30762	0.7218	0.648	20.01	158.1	19.67	371.23
30763	0.202	-0.6476	19.91	132.53	19.54	371.45
30764	0.7537	0.5924	19.87	164.31	19.95	370.99
30765	-0.089	-1.6499	22.18	242.36	21.26	374.05
30766	1.4695	0.1927	19.93	133.08	19.97	371.81
30767	0.9673	-0.003	21.28	207.79	19.99	367.6
30768	0.6814	-0.0766	20.38	171.54	20.01	371.57
30769	-0.4142	0.1786	20.97	203.8	20.43	367.21
30770	-1.3083	-0.3616	20.83	216.64	20.33	368.26
30771	-1.9022	0.3061	21.38	221.7	20.46	370.06
30772	-1.2374	0.142	22.09	241.24	20.97	367.64
30773	-3.2811	0.0344	22.43	260.46	20.59	355.31
30774	-3.0552	-0.034	21.91	294.78	19.65	348.31
30775	-2.9783	0.5436	21.91	289.84	19.61	350.48
30776	-3.206	-0.0361	22.15	279.95	20.01	348.48
30777	-2.8145	-0.0225	22.46	290.69	20.35	346.8
30778	-1.8598	0.831	21.99	266.63	19.88	351.78
30779	-2.8603	0.5079	22.42	288.55	20.19	348.57
30780	-1.9975	-0.0144	22.27	261.65	20.66	355.26
30781	-0.8263	0.2974	21.79	239.96	20.79	360.26
30782	-0.5038	0.2566	22.16	205	21.1	371.1
30783	-0.8325	0.0064	22.9	251.79	21.32	361.36
30784	-2.5955	0.8264	23.35	305.5	20.9	341.93
