Depth	
-145	1.00E-05
-145.5	1.00E-05
-146	1.00E-05
-146.5	1.00E-05
-147	1.00E-05
-147.5	1.00E-05
-148	1.00E-05
-148.5	1.00E-05
-149	1.00E-05
-149.5	1.00E-05
-150	1.00E-05
-150.5	1.00E-05
-151	1.00E-05
-151.5	1.00E-05
-152	1.00E-05
-152.5	1.00E-05
-153	1.00E-05
-153.5	1.00E-05
-154	1.00E-05
-154.5	1.00E-05
-155	1.00E-05
-155.5	1.00E-05
-156	1.00E-05
-156.5	1.00E-05
-157	1.00E-05
-157.5	1.00E-05
-158	1.00E-05
-158.5	1.00E-05
-159	1.00E-05
-159.5	1.00E-05
-160	1.00E-05
-160.5	1.00E-05
-161	1.00E-05
-161.5	1.00E-05
-162	1.00E-05
-162.5	1.00E-05
-163	1.00E-05
-163.5	1.00E-05
-164	1.00E-05
-164.5	1.00E-05
-165	1.00E-05
-165.5	1.00E-05
-166	1.00E-05
-166.5	1.00E-05
-167	1.00E-05
-167.5	1.00E-05
-168	1.00E-05
-168.5	1.00E-05
-169	1.00E-05
-169.5	1.00E-05
-170	1.00E-05
-170.5	1.00E-05
-171	1.00E-05
-171.5	1.00E-05
-172	1.00E-05
-172.5	1.00E-05
-173	1.00E-05
-173.5	1.00E-05
-174	1.00E-05
-174.5	1.00E-05
-175	1.00E-05
-175.5	1.00E-05
-176	1.00E-05
-176.5	1.00E-05
-177	1.00E-05
-177.5	1.00E-05
-178	1.00E-05
-178.5	1.00E-05
-179	1.00E-05
-179.5	1.00E-05
-180	1.00E-05
-180.5	1.00E-05
-181	1.00E-05
-181.5	1.00E-05
-182	1.00E-05
-182.5	1.00E-05
-183	1.00E-05
-183.5	1.00E-05
-184	1.00E-05
-184.5	1.00E-05
-185	1.00E-05
-185.5	1.00E-05
-186	1.00E-05
-186.5	1.00E-05
-187	1.00E-05
-187.5	1.00E-05
-188	1.00E-05
-188.5	1.00E-05
-189	1.00E-05
-189.5	1.00E-05
-190	1.00E-05
-190.5	1.00E-05
-191	1.00E-05
-191.5	1.00E-05
-192	1.00E-05
-192.5	1.00E-05
-193	1.00E-05
-193.5	1.00E-05
-194	1.00E-05
-194.5	1.00E-05
-195	1.00E-05
-195.5	1.00E-05
-196	1.00E-05
-196.5	1.00E-05
-197	1.00E-05
-197.5	1.00E-05
-198	1.00E-05
-198.5	1.00E-05
-199	1.00E-05
-199.5	1.00E-05
-200	1.00E-05
-200.5	1.00E-05
-201	1.00E-05
-201.5	1.00E-05
-202	1.00E-05
-202.5	1.00E-05
-203	1.00E-05
-203.5	1.00E-05
-204	1.00E-05
-204.5	1.00E-05
-205	1.00E-05
-205.5	1.00E-05
-206	1.00E-05
-206.5	1.00E-05
-207	1.00E-05
-207.5	1.00E-05
-208	1.00E-05
-208.5	1.00E-05
-209	1.00E-05
-209.5	1.00E-05
-210	1.00E-05
-210.5	1.00E-05
-211	1.00E-05
-211.5	1.00E-05
-212	1.00E-05
-212.5	1.00E-05
-213	1.00E-05
-213.5	1.00E-05
-214	1.00E-05
-214.5	1.00E-05
-215	1.00E-05
